PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31267482","Naldemedine: A Review in Opioid-Induced Constipation","Blair HA.","Drugs. 2019 Jul;79(11):1241-1247. doi: 10.1007/s40265-019-01160-7.","Blair HA","Drugs","2019","2019/07/04","","","10.1007/s40265-019-01160-7"
"29869799","Mu-opioid antagonists for opioid-induced bowel dysfunction in people with cancer and people receiving palliative care","Candy B, Jones L, Vickerstaff V, Larkin PJ, Stone P.","Cochrane Database Syst Rev. 2018 Jun 5;6(6):CD006332. doi: 10.1002/14651858.CD006332.pub3.","Candy B","Cochrane Database Syst Rev","2018","2018/06/06","PMC6513061","","10.1002/14651858.CD006332.pub3"
"29621475","Management of Opioid-Induced Constipation in Patients with Malignancy","Garcia JM, Shamliyan TA.","Am J Med. 2018 Sep;131(9):1041-1051.e3. doi: 10.1016/j.amjmed.2018.02.038. Epub 2018 Apr 2.","Garcia JM","Am J Med","2018","2018/04/06","","","10.1016/j.amjmed.2018.02.038"
"29419653","Long-term use of naldemedine in the treatment of opioid-induced constipation in patients with chronic noncancer pain: a randomized, double-blind, placebo-controlled phase 3 study","Webster LR, Nalamachu S, Morlion B, Reddy J, Baba Y, Yamada T, Arjona Ferreira JC.","Pain. 2018 May;159(5):987-994. doi: 10.1097/j.pain.0000000000001174.","Webster LR","Pain","2018","2018/02/09","PMC5916485","","10.1097/j.pain.0000000000001174"
"29406802","Reply to Y. Yagi et al","Katakami N, Yokota T, Tada Y.","J Clin Oncol. 2018 Apr 1;36(10):1050. doi: 10.1200/JCO.2017.77.0925. Epub 2018 Feb 6.","Katakami N","J Clin Oncol","2018","2018/02/07","","","10.1200/JCO.2017.77.0925"
"29406801","Randomized Phase III and Extension Studies of Naldemedine in Patients With Opioid-Induced Constipation and Cancer","Yagi Y, Kosugi K, Tanimoto T.","J Clin Oncol. 2018 Apr 1;36(10):1049-1050. doi: 10.1200/JCO.2017.76.9349. Epub 2018 Feb 6.","Yagi Y","J Clin Oncol","2018","2018/02/07","","","10.1200/JCO.2017.76.9349"
"29324623","New Drugs 2018, part 1","Hussar DA.","Nursing. 2018 Feb;48(2):36-44. doi: 10.1097/01.NURSE.0000529803.83288.e1.","Hussar DA","Nursing","2018","2018/01/12","","","10.1097/01.NURSE.0000529803.83288.e1"
"29210822","PERIPHERALLY ACTING MU-OPIOID RECEPTOR ANTAGONISTS","Martinez-Cox S, Espinosa K, Friece C, Rahman A.","Gastroenterol Nurs. 2017 Nov/Dec;40(6):517-522. doi: 10.1097/SGA.0000000000000326.","Martinez-Cox S","Gastroenterol Nurs","2017","2017/12/07","","","10.1097/SGA.0000000000000326"
"29186083","Naldemedine (Symproic) for opioid-induced constipation","","Med Lett Drugs Ther. 2017 Dec 4;59(1535):196-198.","","Med Lett Drugs Ther","2017","2017/11/30","","",""
"29092627","Evidence Based Review of Pharmacotherapy for Opioid-Induced Constipation in Noncancer Pain","Murphy JA, Sheridan EA.","Ann Pharmacother. 2018 Apr;52(4):370-379. doi: 10.1177/1060028017739637. Epub 2017 Nov 2.","Murphy JA","Ann Pharmacother","2018","2017/11/03","","","10.1177/1060028017739637"
"28968171","Randomized Phase III and Extension Studies of Naldemedine in Patients With Opioid-Induced Constipation and Cancer","Katakami N, Harada T, Murata T, Shinozaki K, Tsutsumi M, Yokota T, Arai M, Tada Y, Narabayashi M, Boku N.","J Clin Oncol. 2017 Dec 1;35(34):3859-3866. doi: 10.1200/JCO.2017.73.0853. Epub 2017 Oct 2.","Katakami N","J Clin Oncol","2017","2017/10/03","","","10.1200/JCO.2017.73.0853"
"28960888","Phase 1, Randomized, Double-Blind, Placebo-Controlled Studies on the Safety, Tolerability, and Pharmacokinetics of Naldemedine in Healthy Volunteers","Fukumura K, Yokota T, Baba Y, Arjona Ferreira JC.","Clin Pharmacol Drug Dev. 2018 Jun;7(5):474-483. doi: 10.1002/cpdd.387. Epub 2017 Sep 27.","Fukumura K","Clin Pharmacol Drug Dev","2018","2017/09/30","","","10.1002/cpdd.387"
"28576452","Naldemedine versus placebo for opioid-induced constipation (COMPOSE-1 and COMPOSE-2): two multicentre, phase 3, double-blind, randomised, parallel-group trials","Hale M, Wild J, Reddy J, Yamada T, Arjona Ferreira JC.","Lancet Gastroenterol Hepatol. 2017 Aug;2(8):555-564. doi: 10.1016/S2468-1253(17)30105-X. Epub 2017 May 30.","Hale M","Lancet Gastroenterol Hepatol","2017","2017/06/04","","","10.1016/S2468-1253(17)30105-X"
"28483411","Naldemedine effective in treating opioid-induced constipation","Brower V.","Lancet Oncol. 2017 Jun;18(6):e306. doi: 10.1016/S1470-2045(17)30320-0. Epub 2017 May 5.","Brower V","Lancet Oncol","2017","2017/05/10","","","10.1016/S1470-2045(17)30320-0"
"28466424","Naldemedine: First Global Approval","Markham A.","Drugs. 2017 May;77(8):923-927. doi: 10.1007/s40265-017-0750-0.","Markham A","Drugs","2017","2017/05/04","","","10.1007/s40265-017-0750-0"
"28445097","Phase IIb, Randomized, Double-Blind, Placebo-Controlled Study of Naldemedine for the Treatment of Opioid-Induced Constipation in Patients With Cancer","Katakami N, Oda K, Tauchi K, Nakata K, Shinozaki K, Yokota T, Suzuki Y, Narabayashi M, Boku N.","J Clin Oncol. 2017 Jun 10;35(17):1921-1928. doi: 10.1200/JCO.2016.70.8453. Epub 2017 Apr 26.","Katakami N","J Clin Oncol","2017","2017/04/27","","","10.1200/JCO.2016.70.8453"
"28371937","A Phase 2b, Randomized, Double-Blind Placebo-Controlled Study to Evaluate the Efficacy and Safety of Naldemedine for the Treatment of Opioid-Induced Constipation in Patients with Chronic Noncancer Pain","Webster LR, Yamada T, Arjona Ferreira JC.","Pain Med. 2017 Dec 1;18(12):2350-2360. doi: 10.1093/pm/pnw325.","Webster LR","Pain Med","2017","2017/04/04","PMC5914456","","10.1093/pm/pnw325"
